,ewc,ewa,ige
0,22.95,16.1,31.76
1,22.78,15.98,31.32
2,22.94,16.1,31.81
3,23.05,16.31,32.26
4,23.32,16.29,32.97
5,23.12,16.32,32.54
6,23.01,16.27,32.42
7,23.33,16.56,32.82
8,23.23,16.63,32.69
9,23.54,16.96,33.16
10,23.56,16.87,33.52
11,23.17,16.86,33.0
12,22.76,16.3,31.86
13,22.2,15.79,30.92
14,22.29,16.08,30.98
15,21.79,15.39,30.14
16,21.47,15.44,29.51
17,21.55,15.31,29.68
18,21.35,14.81,29.36
19,21.37,15.09,29.51
20,21.15,14.84,29.11
21,21.99,15.11,30.23
22,22.2,15.25,30.48
23,22.1,15.15,30.01
24,22.38,14.96,30.72
25,22.38,14.87,30.79
26,22.6,15.11,31.37
27,22.09,14.88,30.25
28,21.86,14.52,30.03
29,21.44,14.36,28.96
30,21.04,14.08,28.97
31,21.32,14.33,28.85
32,21.02,14.19,27.95
33,20.23,13.34,27.06
34,20.41,13.75,27.72
35,21.0,14.29,28.97
36,20.78,14.11,28.77
37,20.32,13.86,27.76
38,20.29,13.85,27.66
39,20.82,14.23,28.31
40,20.66,14.19,28.46
41,20.78,14.18,29.04
42,21.09,14.22,29.4
43,20.95,14.11,29.39
44,20.93,14.05,29.75
45,21.63,14.86,30.86
46,21.83,14.91,31.0
47,22.07,15.05,31.52
48,21.89,14.79,31.43
49,21.82,15.03,31.39
50,21.82,15.34,31.04
51,21.64,15.32,30.93
52,21.8,15.34,31.36
53,21.67,15.05,31.28
54,21.38,14.87,30.87
55,21.41,14.45,31.19
56,21.0,14.41,30.2
57,21.06,14.32,30.22
58,21.42,14.66,30.63
59,21.09,14.59,29.76
60,20.93,14.48,29.21
61,21.29,14.91,30.12
62,21.56,14.88,30.76
63,21.9,14.78,31.33
64,21.6,15.06,31.18
65,21.83,15.29,31.22
66,21.86,15.12,31.75
67,21.98,15.04,31.86
68,22.24,14.99,32.02
69,22.23,14.95,31.8
70,22.16,14.97,31.46
71,22.19,14.88,31.65
72,22.41,15.05,31.52
73,22.43,14.94,31.74
74,22.26,15.01,31.55
75,22.28,14.86,31.38
76,22.01,14.91,30.78
77,22.36,15.21,31.04
78,22.53,15.27,31.0
79,22.45,15.33,30.76
80,22.4,15.32,31.04
81,22.82,15.55,31.43
82,23.01,15.42,31.61
83,23.04,15.33,31.17
84,22.85,15.03,31.3
85,22.87,15.11,31.5
86,22.94,15.25,31.08
87,22.88,15.56,30.92
88,22.82,15.56,30.52
89,22.83,15.7,30.47
90,23.05,15.81,30.87
91,23.03,16.17,31.16
92,22.63,15.72,30.35
93,22.32,15.5,30.07
94,22.08,15.47,29.44
95,21.54,14.94,28.27
96,21.62,15.0,28.11
97,21.81,15.17,28.8
98,21.58,15.21,28.12
99,21.6,15.18,28.06
100,21.92,15.44,28.76
101,21.58,15.09,28.23
102,21.41,15.07,27.54
103,21.6,14.99,28.04
104,21.51,14.74,27.8
105,21.59,15.0,27.74
106,21.81,15.02,28.34
107,22.12,15.31,28.86
108,22.26,15.33,28.81
109,22.08,15.36,28.93
110,22.01,15.54,28.59
111,21.33,15.3,27.46
112,21.47,15.54,27.71
113,21.79,15.8,28.29
114,21.68,15.6,28.3
115,21.66,15.65,28.1
116,21.65,15.73,28.47
117,21.24,15.78,28.07
118,21.49,16.15,28.6
119,21.87,16.16,29.13
120,22.24,16.4,29.82
121,21.96,16.05,29.55
122,21.94,16.26,29.26
123,22.37,16.37,30.01
124,22.4,16.66,29.72
125,22.5,16.58,29.73
126,22.72,16.61,30.2
127,23.04,16.69,30.75
128,23.18,17.16,30.68
129,22.82,16.86,30.33
130,22.89,17.41,29.88
131,23.22,17.18,30.2
132,22.49,17.56,29.89
133,22.88,17.29,29.98
134,23.03,17.41,30.57
135,23.24,17.66,30.9
136,23.18,17.86,30.63
137,23.34,17.47,31.12
138,23.49,17.43,31.48
139,23.28,17.34,31.02
140,23.1,17.12,30.94
141,23.1,17.38,31.0
142,23.31,17.22,31.37
143,23.1,17.06,30.48
144,23.07,17.24,30.74
145,23.17,16.86,30.82
146,23.52,17.2,31.33
147,23.57,17.57,31.35
148,23.86,17.7,31.4
149,23.64,17.42,31.15
150,23.66,17.86,31.63
151,23.82,17.98,32.49
152,23.85,18.18,32.76
153,23.85,17.81,32.9
154,24.14,18.15,32.88
155,24.25,18.03,33.02
156,24.1,18.16,32.91
157,24.05,18.0,32.82
158,24.06,17.7,32.82
159,24.02,17.98,32.75
160,23.93,18.01,32.63
161,23.89,18.19,32.9
162,24.12,18.56,33.4
163,23.73,18.38,33.03
164,23.49,18.31,32.06
165,23.62,18.32,32.57
166,23.51,18.52,32.12
167,23.2,18.39,31.87
168,23.12,18.47,31.61
169,22.97,18.53,31.62
170,23.35,18.91,31.99
171,23.43,18.99,32.1
172,23.4,18.75,31.89
173,22.83,18.79,30.66
174,22.43,18.35,29.92
175,22.35,17.97,30.15
176,22.19,18.1,30.24
177,22.24,18.23,29.89
178,22.21,18.07,29.54
179,22.32,18.28,29.31
180,22.86,18.67,30.24
181,22.52,18.63,29.91
182,22.78,18.61,30.19
183,22.51,18.75,29.91
184,22.85,19.06,30.62
185,22.57,19.01,30.49
186,23.06,19.51,31.32
187,23.31,19.31,31.52
188,23.05,18.77,30.92
189,23.23,18.78,31.06
190,23.06,18.79,30.87
191,23.33,19.2,31.54
192,23.42,19.17,31.69
193,23.6,19.11,31.99
194,23.44,19.11,31.96
195,23.55,19.22,31.9
196,23.63,19.48,31.91
197,23.52,19.64,31.69
198,23.65,19.78,32.01
199,23.61,19.63,31.88
200,23.51,19.48,31.51
201,23.98,19.94,32.09
202,24.03,20.2,32.14
203,24.26,20.18,31.94
204,24.29,20.24,31.97
205,24.1,20.38,31.66
206,24.38,20.37,32.02
207,24.3,20.54,32.35
208,24.36,20.96,32.43
209,24.5,21.0,32.69
210,23.57,19.71,31.36
211,23.57,19.85,31.44
212,23.33,19.75,31.39
213,22.96,19.67,30.75
214,22.7,18.25,30.3
215,23.05,19.68,30.99
216,23.23,19.42,31.37
217,23.35,19.52,31.56
218,23.56,19.5,31.59
219,23.49,20.09,31.52
220,22.94,19.41,30.96
221,23.02,19.82,31.23
222,23.14,20.25,31.31
223,23.08,20.09,31.03
224,23.31,20.46,31.68
225,23.68,20.79,31.84
226,24.11,21.02,32.42
227,24.04,21.12,32.83
228,24.18,21.0,33.02
229,24.26,21.62,33.15
230,24.19,21.06,33.17
231,24.09,20.73,33.14
232,24.3,20.97,33.42
233,24.23,21.2,33.03
234,24.43,21.26,33.39
235,24.73,21.73,33.56
236,24.66,21.95,33.75
237,24.84,22.08,33.87
238,24.88,22.07,33.82
239,24.83,22.6,34.32
240,25.0,22.36,34.26
241,25.34,22.78,34.69
242,25.42,22.81,34.92
243,25.83,23.02,35.12
244,25.67,23.1,34.9
245,25.8,23.11,34.75
246,25.48,22.83,34.31
247,25.85,22.96,34.77
248,25.77,22.87,34.83
249,25.67,22.45,34.69
250,26.1,22.96,35.38
251,25.73,22.7,35.29
252,25.96,22.62,35.33
253,25.83,22.34,34.86
254,25.58,22.38,34.92
255,26.04,22.91,35.29
256,26.26,22.83,35.69
257,26.45,23.11,35.82
258,26.81,23.1,36.08
259,26.78,23.03,36.07
260,26.77,23.5,36.04
261,26.48,23.05,35.42
262,26.91,23.47,36.18
263,26.81,23.35,36.22
264,27.15,23.31,36.24
265,27.21,23.05,36.35
266,27.58,23.24,36.88
267,27.81,23.34,37.39
268,27.96,23.25,37.8
269,27.76,23.04,37.44
270,27.71,23.2,37.62
271,27.53,22.35,36.86
272,27.88,22.9,37.4
273,27.89,22.84,37.19
274,28.15,22.83,37.86
275,28.18,23.15,37.83
276,28.54,23.44,38.27
277,28.62,23.71,38.8
278,28.5,23.75,38.62
279,28.11,23.35,38.02
280,27.41,23.16,37.21
281,27.73,23.43,37.56
282,27.6,23.6,37.78
283,27.44,22.92,37.34
284,27.88,23.27,38.13
285,28.21,23.35,38.81
286,28.66,23.75,39.32
287,28.74,23.88,39.41
288,28.5,24.24,39.4
289,28.06,24.2,38.34
290,28.13,24.27,39.11
291,27.91,24.1,38.75
292,27.65,24.3,38.19
293,27.23,23.8,37.56
294,27.47,23.25,37.96
295,27.83,23.74,37.84
296,27.94,23.72,38.07
297,28.31,24.37,38.77
298,28.4,24.27,38.96
299,28.62,24.6,39.02
300,28.92,24.7,39.39
301,28.98,24.94,39.83
302,28.8,24.57,39.61
303,28.83,24.6,39.69
304,29.51,25.1,40.53
305,29.78,25.18,40.94
306,29.58,25.22,40.27
307,29.68,25.12,39.96
308,30.08,25.09,40.75
309,30.27,25.45,41.15
310,30.0,25.38,40.89
311,29.78,25.6,40.75
312,29.26,25.24,39.68
313,29.19,25.35,40.0
314,28.24,23.73,38.66
315,27.78,22.75,37.95
316,27.91,23.38,38.38
317,27.94,23.29,38.22
318,27.67,22.79,37.91
319,28.26,23.05,37.82
320,27.68,22.05,36.36
321,27.54,22.73,36.49
322,27.61,22.97,37.19
323,28.28,23.74,38.11
324,27.37,22.54,36.9
325,27.45,22.6,37.23
326,27.38,22.66,37.14
327,26.63,21.62,36.61
328,25.95,20.46,35.53
329,25.6,19.39,35.22
330,26.5,20.18,36.13
331,26.76,21.1,36.29
332,26.87,21.0,35.96
333,27.36,21.85,36.58
334,27.56,22.67,36.87
335,27.85,23.1,37.56
336,27.58,22.9,37.22
337,26.82,22.08,36.2
338,27.92,23.03,37.34
339,27.5,22.37,37.24
340,27.98,23.19,37.79
341,28.37,23.72,38.65
342,28.15,22.85,38.52
343,28.32,23.59,39.0
344,28.05,23.06,38.56
345,27.92,23.09,38.3
346,28.39,24.12,38.94
347,28.76,23.8,39.17
348,28.98,24.14,39.55
349,29.17,24.19,39.66
350,29.16,23.66,39.55
351,30.01,24.59,40.9
352,29.84,25.24,41.02
353,30.02,25.27,41.25
354,30.24,25.45,41.47
355,30.25,25.78,41.28
356,30.35,26.21,40.82
357,30.45,26.55,40.85
358,30.75,26.8,41.28
359,30.81,27.04,41.1
360,31.23,27.84,41.65
361,30.97,27.51,41.35
362,30.64,27.38,40.92
363,31.03,27.34,41.19
364,31.66,27.89,41.5
365,31.51,27.45,41.02
366,31.67,28.31,41.77
367,31.85,28.27,42.17
368,31.8,28.5,42.24
369,32.31,28.73,42.47
370,31.81,28.25,42.96
371,31.5,27.58,42.82
372,31.88,27.67,42.72
373,32.55,28.35,43.08
374,31.64,27.08,41.28
375,31.73,27.17,40.84
376,31.86,28.02,41.44
377,31.9,28.11,41.61
378,31.98,28.2,42.12
379,32.62,29.17,42.73
380,33.23,29.57,43.07
381,32.89,29.09,41.81
382,34.16,29.96,42.96
383,33.21,28.63,41.96
384,33.99,28.99,42.72
385,33.73,28.25,42.35
386,34.5,28.92,43.54
387,33.63,28.36,42.35
388,33.08,28.65,42.64
389,32.32,27.46,41.86
390,30.75,26.01,39.81
391,31.54,27.49,40.62
392,31.34,27.5,40.73
393,29.98,26.51,39.58
394,30.41,26.89,40.2
395,29.6,26.09,39.46
396,30.09,26.65,40.44
397,29.29,25.44,39.66
398,29.93,25.81,40.37
399,30.01,25.35,39.57
400,29.5,25.9,39.04
401,30.38,26.9,39.82
402,30.49,26.61,40.15
403,29.99,26.89,40.15
404,29.88,26.76,40.43
405,29.28,26.34,40.0
406,29.69,26.73,40.68
407,30.02,27.33,41.81
408,30.15,27.01,41.89
409,30.35,27.62,42.2
410,29.48,26.77,41.02
411,29.79,27.15,42.05
412,29.53,26.92,42.04
413,29.36,25.57,41.43
414,29.11,24.45,40.32
415,29.08,24.59,40.93
416,29.25,24.45,41.21
417,29.38,24.48,41.68
418,30.04,25.25,42.79
419,30.57,25.53,43.07
420,30.69,25.56,43.54
421,30.67,25.37,43.41
422,31.01,25.65,43.54
423,30.58,25.35,42.98
424,30.87,25.31,43.67
425,31.01,25.45,44.1
426,30.2,24.62,42.7
427,29.75,24.55,42.17
428,29.56,24.3,41.72
429,29.64,24.65,42.18
430,29.77,25.07,42.05
431,29.27,24.2,41.53
432,29.54,24.67,42.34
433,28.7,23.53,40.78
434,27.88,23.17,39.24
435,27.03,22.24,37.56
436,27.0,22.62,37.64
437,26.83,21.39,36.8
438,27.12,21.43,36.68
439,28.05,22.48,38.18
440,28.11,23.32,37.87
441,28.05,23.78,38.61
442,28.67,23.39,38.87
443,28.72,22.73,38.76
444,28.75,23.41,38.66
445,29.39,24.96,39.38
446,28.87,24.3,39.47
447,28.23,22.99,37.95
448,28.31,22.8,37.21
449,28.03,22.78,37.75
450,28.51,22.76,38.48
451,28.82,22.91,39.46
452,28.76,23.27,39.18
453,29.3,22.79,40.26
454,29.05,22.86,40.1
455,28.85,23.26,39.94
456,29.04,23.37,41.1
457,29.5,23.05,41.73
458,29.48,22.98,40.9
459,29.64,23.36,41.47
460,30.42,24.21,42.44
461,31.0,24.48,43.23
462,31.0,24.75,42.96
463,31.42,24.34,43.79
464,30.48,23.07,42.41
465,30.24,23.35,42.85
466,29.87,22.61,42.14
467,30.48,23.13,43.24
468,29.84,22.34,42.27
469,29.5,21.75,41.45
470,28.72,21.26,40.64
471,29.6,22.29,42.33
472,29.61,22.17,41.76
473,30.11,22.4,42.64
474,29.69,21.81,42.05
475,28.6,21.24,40.41
476,29.16,21.89,41.68
477,27.49,21.44,39.05
478,27.49,21.37,38.93
479,28.17,22.05,39.5
480,28.91,22.05,40.22
481,28.97,22.56,41.11
482,28.97,22.38,40.83
483,28.73,22.31,40.69
484,28.78,22.29,40.76
485,29.15,22.92,41.31
486,29.57,23.23,42.0
487,29.98,23.79,42.19
488,30.09,24.12,42.78
489,30.1,24.2,42.88
490,30.15,24.21,43.17
491,30.05,23.54,43.4
492,30.38,23.47,43.52
493,29.71,23.03,42.8
494,29.95,22.8,43.52
495,30.24,23.33,44.05
496,31.44,24.42,45.53
497,31.21,23.91,45.42
498,31.62,23.9,46.28
499,31.87,24.71,46.69
500,31.9,24.39,46.56
501,30.98,24.92,45.9
502,30.8,24.46,44.77
503,31.12,24.46,45.56
504,31.1,24.3,45.44
505,30.46,23.99,44.34
506,30.93,24.31,44.67
507,30.83,24.49,43.9
508,31.37,24.96,44.69
509,31.51,25.14,45.44
510,32.22,25.37,46.67
511,31.96,24.39,46.2
512,32.22,25.15,47.28
513,32.4,25.32,47.08
514,32.92,26.05,47.13
515,32.74,25.79,47.7
516,32.73,25.96,47.15
517,33.34,26.41,48.06
518,33.79,26.85,49.5
519,33.86,26.72,49.97
520,34.22,26.28,50.67
521,33.81,26.0,49.91
522,33.88,26.17,49.37
523,33.6,25.66,48.61
524,32.91,25.8,48.03
525,33.44,25.66,48.87
526,33.15,25.54,47.69
527,33.48,25.8,48.22
528,33.38,25.37,48.43
529,32.87,24.71,47.72
530,32.62,24.6,46.96
531,33.36,25.13,49.04
532,33.13,24.55,48.66
533,33.09,24.23,49.66
534,32.43,23.85,48.3
535,32.69,23.61,48.7
536,32.19,23.18,47.8
537,32.44,23.62,48.19
538,33.0,23.39,48.54
539,33.48,23.86,49.46
540,33.45,23.78,49.69
541,32.86,23.92,48.5
542,32.28,23.16,48.08
543,32.53,23.26,49.74
544,32.07,23.28,48.77
545,31.93,23.48,48.38
546,31.57,23.07,48.23
547,31.71,23.43,48.72
548,31.62,23.0,49.43
549,31.71,22.51,49.73
550,31.0,22.1,47.77
551,30.76,22.08,47.31
552,30.29,21.85,46.15
553,30.41,22.0,45.41
554,30.13,21.65,44.52
555,30.5,22.1,46.01
556,30.34,21.79,46.04
557,30.51,21.98,46.62
558,29.63,21.5,44.72
559,30.13,22.15,43.9
560,29.93,22.2,42.87
561,30.09,22.02,43.3
562,30.6,22.75,44.57
563,30.33,22.75,43.26
564,29.99,22.99,41.42
565,29.03,22.41,40.96
566,29.33,22.23,41.39
567,29.01,21.29,41.36
568,29.11,21.51,40.86
569,30.0,21.7,43.09
570,29.82,21.41,41.73
571,29.27,20.72,41.6
572,28.27,20.49,39.25
573,28.37,20.7,39.23
574,28.72,20.9,40.43
575,28.3,20.48,39.73
576,27.82,20.51,39.05
577,27.64,20.42,38.73
578,27.56,20.14,38.76
579,28.02,19.87,40.31
580,28.06,19.72,39.69
581,27.59,19.59,38.82
582,27.44,19.56,38.45
583,27.44,19.28,39.54
584,28.09,19.8,40.87
585,28.97,19.81,42.05
586,28.71,19.84,41.2
587,28.23,19.51,40.64
588,28.29,19.57,41.3
589,28.88,19.87,42.03
590,29.21,20.49,41.64
591,28.85,20.35,41.21
592,27.77,19.77,38.92
593,27.56,19.52,38.5
594,26.59,18.2,37.52
595,26.81,18.12,37.58
596,26.45,18.92,36.86
597,25.17,17.6,34.11
598,25.91,17.98,35.42
599,26.33,17.77,35.99
600,26.88,18.79,37.29
601,25.43,17.19,34.67
602,25.59,17.47,35.46
603,24.78,16.27,34.73
604,25.44,17.27,35.73
605,27.48,18.82,38.58
606,27.6,19.21,38.15
607,27.34,18.96,37.19
608,27.18,19.23,37.12
609,27.13,19.56,37.62
610,26.24,19.13,36.72
611,24.27,16.33,33.1
612,24.81,17.07,34.32
613,24.62,17.28,33.47
614,22.48,16.13,30.43
615,22.0,16.01,30.17
616,20.8,13.64,28.54
617,19.51,13.55,26.5
618,20.02,12.49,26.69
619,18.39,12.07,24.33
620,17.32,10.94,22.14
621,19.65,13.93,26.06
622,18.86,13.11,25.97
623,17.22,11.46,21.53
624,17.27,12.49,22.65
625,17.54,11.63,22.99
626,18.76,13.24,25.84
627,17.65,12.21,24.29
628,16.02,11.09,21.62
629,16.13,11.14,22.46
630,15.66,9.77,21.54
631,14.26,9.23,19.9
632,15.66,10.93,22.4
633,16.6,10.88,23.39
634,17.72,11.77,25.03
635,17.65,11.52,25.15
636,18.04,12.33,24.39
637,19.54,13.63,26.59
638,18.65,12.76,25.21
639,17.68,11.42,23.44
640,17.68,12.08,24.48
641,17.79,11.36,24.64
642,17.08,10.81,23.56
643,15.54,9.88,21.48
644,16.83,11.05,24.1
645,16.0,9.89,22.85
646,15.61,9.42,22.21
647,15.5,9.41,23.07
648,14.73,8.45,21.35
649,12.94,7.49,18.47
650,13.67,8.9,21.04
651,14.65,9.41,22.68
652,14.95,10.01,23.18
653,15.22,10.05,24.8
654,15.58,10.19,24.49
655,14.81,9.03,21.72
656,14.5,9.58,22.4
657,14.45,9.76,22.3
658,13.73,9.08,20.6
659,13.91,9.45,20.84
660,14.79,10.37,22.33
661,14.52,9.66,22.44
662,14.79,9.96,23.84
663,14.86,9.88,23.76
664,14.93,9.92,23.53
665,14.97,9.91,23.62
666,15.83,10.87,24.6
667,15.77,10.63,24.42
668,15.29,9.98,22.78
669,15.27,10.24,22.96
670,14.81,10.19,22.01
671,15.08,10.01,21.98
672,15.01,10.29,21.96
673,14.98,10.54,22.49
674,15.48,10.36,23.1
675,15.88,10.81,23.49
676,16.22,11.43,23.85
677,16.67,11.58,25.1
678,17.21,11.39,25.66
679,17.67,11.83,26.25
680,16.91,11.27,24.79
681,17.3,11.38,25.31
682,16.83,10.92,24.3
683,15.94,10.42,23.16
684,16.1,10.17,23.68
685,15.31,9.72,22.46
686,15.51,9.93,22.7
687,15.73,9.99,23.0
688,14.54,8.93,21.57
689,15.26,9.59,23.02
690,14.74,9.22,22.26
691,15.28,9.01,23.33
692,15.44,9.08,23.71
693,15.66,9.41,23.62
694,16.16,9.84,24.33
695,15.71,9.2,23.62
696,15.49,9.03,23.13
697,15.16,9.08,22.65
698,15.36,9.51,23.03
699,15.45,9.13,23.32
700,15.89,9.45,23.98
701,16.25,10.09,24.49
702,16.39,10.11,24.65
703,15.57,9.13,23.48
704,15.5,9.48,23.35
705,15.51,9.56,23.44
706,15.37,9.67,23.3
707,14.31,8.83,21.87
708,14.15,8.89,21.68
709,14.08,9.01,21.55
710,13.85,9.0,21.07
711,13.2,8.61,19.95
712,13.68,9.16,20.72
713,13.68,8.84,20.65
714,14.14,8.81,20.83
715,13.88,8.64,20.52
716,12.76,8.01,18.73
717,12.77,8.2,19.03
718,13.29,8.65,19.98
719,12.81,8.1,19.31
720,12.82,8.19,19.4
721,12.58,7.93,19.41
722,13.38,8.73,20.17
723,13.6,8.81,20.3
724,14.24,9.07,20.99
725,14.27,9.34,20.89
726,14.53,9.39,21.16
727,14.85,9.94,21.86
728,15.33,10.13,22.31
729,15.62,10.36,23.24
730,15.13,10.27,22.34
731,16.25,11.12,24.05
732,15.94,10.81,23.47
733,15.93,11.05,23.66
734,16.3,11.43,23.95
735,15.85,11.02,23.15
736,14.99,10.37,22.14
737,15.25,10.81,22.15
738,15.78,11.04,22.73
739,16.2,11.83,23.55
740,16.53,11.98,23.93
741,16.34,11.74,23.35
742,15.86,11.4,22.65
743,16.03,11.3,22.99
744,16.8,11.84,23.8
745,17.05,12.12,23.81
746,16.87,11.92,23.52
747,17.18,12.16,23.7
748,17.32,12.2,23.77
749,17.43,12.13,23.99
750,16.47,11.15,22.73
751,16.75,11.57,23.23
752,16.75,11.29,23.09
753,17.28,11.82,23.7
754,17.72,12.01,24.52
755,17.24,11.62,24.0
756,17.08,11.41,23.79
757,17.6,12.02,24.54
758,17.53,12.11,24.23
759,18.14,12.23,25.14
760,19.03,13.06,26.51
761,19.03,12.91,26.18
762,19.73,13.22,27.3
763,19.19,13.11,26.8
764,20.14,13.8,28.22
