Close-tbill,Close-msft,Close-sp500,Close-ge,Close-ford,Date
3.06,2.52,469.1,6.72,8.16,1-Nov-93
3.12,2.5,468.44,6.69,8.31,2-Nov-93
3.08,2.45,463.02,6.64,8.24,3-Nov-93
3.07,2.38,457.49,6.46,7.98,4-Nov-93
3.07,2.45,459.57,6.49,7.94,5-Nov-93
3.06,2.45,460.21,6.46,8.02,8-Nov-93
3.11,2.44,460.33,6.51,7.94,9-Nov-93
3.11,2.53,463.72,6.52,8.05,10-Nov-93
3.11,2.55,465.39,6.47,8.07,12-Nov-93
3.11,2.51,463.75,6.5,8.1,15-Nov-93
3.09,2.56,466.74,6.65,8.1,16-Nov-93
3.09,2.52,464.81,6.66,8.07,17-Nov-93
3.1,2.5,463.62,6.72,8.15,18-Nov-93
3.11,2.5,462.6,6.77,8.05,19-Nov-93
3.12,2.4,459.13,6.77,7.77,22-Nov-93
3.11,2.41,461.03,6.79,7.77,23-Nov-93
3.11,2.45,462.36,6.74,7.95,24-Nov-93
3.1,2.46,463.06,6.79,7.98,26-Nov-93
3.11,2.48,461.9,6.75,8.05,29-Nov-93
3.14,2.49,461.79,6.78,7.92,30-Nov-93
3.11,2.54,461.89,6.8,8.16,1-Dec-93
3.11,2.58,463.11,6.89,8.11,2-Dec-93
3.11,2.67,464.89,6.9,8.23,3-Dec-93
3.09,2.64,466.43,6.92,8.2,6-Dec-93
3.08,2.66,466.76,6.88,8.26,7-Dec-93
3.08,2.6,466.29,6.92,8.24,8-Dec-93
3.05,2.53,464.18,6.96,8.28,9-Dec-93
3.05,2.55,463.93,7,8.39,10-Dec-93
3.04,2.53,465.7,6.96,8.44,13-Dec-93
3.04,2.49,463.06,7.06,8.28,14-Dec-93
3.03,2.48,461.84,7.12,8.2,15-Dec-93
3.02,2.49,463.34,7.13,8.15,16-Dec-93
3.03,2.51,466.38,7.25,8.16,17-Dec-93
3.05,2.55,465.85,7.19,8.18,20-Dec-93
3.07,2.57,465.3,7.26,8.44,21-Dec-93
3.05,2.53,467.32,7.26,8.55,22-Dec-93
3.05,2.52,467.38,7.31,8.46,23-Dec-93
3.06,2.51,470.54,7.41,8.41,27-Dec-93
3.06,2.58,470.94,7.39,8.44,28-Dec-93
3,2.54,470.58,7.39,8.44,29-Dec-93
2.98,2.53,468.64,7.35,8.44,30-Dec-93
3,2.51,466.45,7.28,8.41,31-Dec-93
3.03,2.5,465.44,7.22,8.26,3-Jan-94
3.08,2.51,466.89,7.19,8.33,4-Jan-94
3.07,2.56,467.55,7.15,8.31,5-Jan-94
3.05,2.64,467.12,7.21,8.29,6-Jan-94
3.01,2.66,469.9,7.24,8.42,7-Jan-94
2.99,2.67,475.27,7.28,8.77,10-Jan-94
2.97,2.66,474.13,7.33,8.9,11-Jan-94
2.95,2.66,474.17,7.36,8.8,12-Jan-94
2.95,2.66,472.47,7.3,8.85,13-Jan-94
2.97,2.67,474.91,7.41,8.9,14-Jan-94
2.96,2.64,474.25,7.52,8.94,18-Jan-94
2.97,2.59,474.3,7.55,8.8,19-Jan-94
2.94,2.69,474.98,7.53,8.75,20-Jan-94
2.95,2.69,474.72,7.49,8.8,21-Jan-94
2.94,2.66,471.97,7.48,8.6,24-Jan-94
2.93,2.65,470.92,7.43,8.54,25-Jan-94
2.92,2.62,473.2,7.39,8.51,26-Jan-94
2.92,2.62,477.05,7.51,8.75,27-Jan-94
2.94,2.64,478.7,7.49,8.56,28-Jan-94
2.97,2.65,481.61,7.48,8.79,31-Jan-94
3.03,2.65,479.62,7.42,8.75,1-Feb-94
3.06,2.62,482,7.57,8.88,2-Feb-94
3.14,2.63,480.71,7.62,9.1,3-Feb-94
3.23,2.53,469.81,7.39,8.92,4-Feb-94
3.22,2.52,471.76,7.51,9.03,7-Feb-94
3.25,2.45,471.05,7.44,9.11,8-Feb-94
3.25,2.48,472.77,7.51,8.98,9-Feb-94
3.26,2.47,468.93,7.39,8.65,10-Feb-94
3.25,2.45,470.18,7.44,8.59,11-Feb-94
3.25,2.46,470.23,7.5,8.62,14-Feb-94
3.27,2.48,472.52,7.56,8.69,15-Feb-94
3.27,2.45,472.79,7.55,8.52,16-Feb-94
3.27,2.45,470.34,7.57,8.47,17-Feb-94
3.28,2.49,467.69,7.49,8.46,18-Feb-94
3.29,2.48,471.46,7.49,8.46,22-Feb-94
3.37,2.52,470.69,7.45,8.42,23-Feb-94
3.36,2.49,464.26,7.31,8.2,24-Feb-94
3.37,2.52,466.07,7.29,8.06,25-Feb-94
3.36,2.57,467.14,7.31,8.15,28-Feb-94
3.49,2.59,464.44,7.33,8.16,1-Mar-94
3.47,2.58,464.81,7.39,8.38,2-Mar-94
3.48,2.52,463.01,7.34,8.34,3-Mar-94
3.53,2.52,464.74,7.33,8.54,4-Mar-94
3.52,2.53,466.91,7.39,8.44,7-Mar-94
3.54,2.52,465.88,7.34,8.36,8-Mar-94
3.53,2.52,467.06,7.36,8.57,9-Mar-94
3.49,2.52,463.9,7.3,8.52,10-Mar-94
3.49,2.55,466.44,7.35,8.59,11-Mar-94
3.52,2.61,467.39,7.35,8.44,14-Mar-94
3.57,2.64,467.01,7.33,8.28,15-Mar-94
3.53,2.64,469.42,7.25,8.34,16-Mar-94
3.47,2.63,470.9,7.2,8.18,17-Mar-94
3.47,2.64,471.06,7.3,8.06,18-Mar-94
3.51,2.59,468.54,7.27,8.02,21-Mar-94
3.54,2.64,468.8,7.21,8.08,22-Mar-94
3.45,2.69,468.54,7.26,8.31,23-Mar-94
3.45,2.72,464.35,7.24,8.05,24-Mar-94
3.48,2.73,460.58,7.14,7.9,25-Mar-94
3.5,2.69,460,7.23,7.88,28-Mar-94
3.51,2.57,452.48,7.14,7.77,29-Mar-94
3.49,2.6,445.55,6.9,7.64,30-Mar-94
3.47,2.64,445.77,6.99,7.7,31-Mar-94
3.65,2.63,438.92,6.85,7.7,4-Apr-94
3.66,2.73,448.29,6.91,7.98,5-Apr-94
3.6,2.77,448.05,6.82,7.98,6-Apr-94
3.53,2.8,450.88,6.86,7.95,7-Apr-94
3.55,2.71,447.1,6.8,7.65,8-Apr-94
3.54,2.71,449.87,6.87,7.61,11-Apr-94
3.56,2.64,447.57,6.93,7.54,12-Apr-94
3.56,2.64,446.26,6.91,7.49,13-Apr-94
3.58,2.62,446.38,6.81,7.67,14-Apr-94
3.59,2.64,446.18,6.76,7.64,15-Apr-94
3.69,2.59,442.46,6.63,7.59,18-Apr-94
3.74,2.74,442.54,6.67,7.39,19-Apr-94
3.74,2.79,441.96,6.67,7.13,20-Apr-94
3.74,2.85,448.73,6.73,7.29,21-Apr-94
3.74,2.86,447.63,6.71,7.29,22-Apr-94
3.76,2.92,452.71,6.76,7.59,25-Apr-94
3.88,2.96,451.87,6.71,7.65,26-Apr-94
3.88,2.87,449.1,6.75,7.6,28-Apr-94
3.86,2.88,450.91,6.66,7.71,29-Apr-94
3.91,2.97,453.02,6.7,8.05,2-May-94
4.04,2.91,453.03,6.73,8.06,3-May-94
4.04,2.96,451.72,6.84,7.93,4-May-94
4.02,2.94,451.38,6.83,7.8,5-May-94
4.16,2.88,447.82,6.75,7.66,6-May-94
4.24,2.87,442.32,6.63,7.65,9-May-94
4.24,2.93,446.01,6.64,7.83,10-May-94
4.22,2.91,441.49,6.52,7.65,11-May-94
4.12,2.94,443.75,6.55,7.63,12-May-94
4.11,3.01,444.14,6.66,7.66,13-May-94
4.15,2.96,444.49,6.62,7.63,16-May-94
4.19,2.95,449.37,6.66,7.85,17-May-94
4.19,3.02,453.69,6.69,7.78,18-May-94
4.13,3.06,456.48,6.74,7.81,19-May-94
4.14,3.04,454.92,6.66,7.9,20-May-94
4.16,3.15,453.2,6.57,7.83,23-May-94
4.21,3.19,454.81,6.64,7.73,24-May-94
4.18,3.27,456.34,6.64,7.73,25-May-94
4.15,3.24,457.06,6.78,7.63,26-May-94
4.17,3.26,457.33,6.85,7.66,27-May-94
4.17,3.35,456.5,6.95,7.63,31-May-94
4.18,3.3,457.63,7.01,7.73,1-Jun-94
4.13,3.26,457.65,6.99,7.57,2-Jun-94
4.11,3.29,460.13,6.9,7.52,3-Jun-94
4.09,3.4,458.88,6.81,7.38,6-Jun-94
4.13,3.34,458.21,6.81,7.4,7-Jun-94
4.11,3.24,457.06,6.73,7.35,8-Jun-94
4.11,3.26,457.86,6.76,7.43,9-Jun-94
4.11,3.27,458.67,6.67,7.55,10-Jun-94
4.11,3.29,459.1,6.74,7.78,13-Jun-94
4.1,3.34,462.37,6.71,8.08,14-Jun-94
4.12,3.38,460.61,6.64,8.01,15-Jun-94
4.11,3.34,461.93,6.71,8.01,16-Jun-94
4.11,3.3,458.45,6.67,7.91,17-Jun-94
4.11,3.33,455.48,6.62,7.8,20-Jun-94
4.18,3.28,451.34,6.45,7.7,21-Jun-94
4.18,3.21,453.09,6.39,7.7,22-Jun-94
4.15,3.12,449.63,6.46,7.58,23-Jun-94
4.16,3.08,442.8,6.46,7.63,24-Jun-94
4.14,3.23,447.31,6.62,7.9,27-Jun-94
4.18,3.2,446.07,6.65,7.81,28-Jun-94
4.13,3.2,447.63,6.71,7.85,29-Jun-94
4.14,3.22,444.27,6.57,7.8,30-Jun-94
4.19,3.13,446.2,6.53,7.8,1-Jul-94
4.2,3.06,446.37,6.62,7.65,5-Jul-94
4.29,3.01,446.13,6.65,7.63,6-Jul-94
4.24,3.14,448.38,6.67,7.89,7-Jul-94
4.37,3.08,449.55,6.67,8.09,8-Jul-94
4.42,3.01,448.06,6.65,8.03,11-Jul-94
4.45,2.99,447.95,6.6,8.26,12-Jul-94
4.41,3.08,448.73,6.6,8.52,13-Jul-94
4.3,3.04,453.41,6.71,8.36,14-Jul-94
4.26,3.03,454.16,6.74,8.36,15-Jul-94
4.23,3.15,455.22,6.74,8.42,18-Jul-94
4.25,3.12,453.86,6.88,8.29,19-Jul-94
4.31,3.01,451.6,6.86,8.42,20-Jul-94
4.33,2.97,452.61,6.83,8.19,21-Jul-94
4.37,3.15,453.11,6.99,8.23,22-Jul-94
4.38,3.19,454.25,7.02,8.29,25-Jul-94
4.41,3.14,453.36,6.92,8.36,26-Jul-94
4.45,3.08,452.57,6.86,8.08,27-Jul-94
4.41,3.08,454.24,6.97,8.25,28-Jul-94
4.27,3.21,458.26,7.09,8.48,29-Jul-94
4.28,3.33,461.01,7.08,8.48,1-Aug-94
4.32,3.29,460.56,7.04,8.39,2-Aug-94
4.34,3.33,461.45,6.99,8.39,3-Aug-94
4.32,3.29,458.4,6.83,7.85,4-Aug-94
4.46,3.27,457.09,6.9,7.92,5-Aug-94
4.45,3.3,457.89,6.97,8.02,8-Aug-94
4.45,3.33,457.92,6.88,8.02,9-Aug-94
4.35,3.37,460.3,6.79,8.05,10-Aug-94
4.34,3.44,458.88,6.71,7.92,11-Aug-94
4.36,3.44,461.94,6.78,7.88,12-Aug-94
4.45,3.39,461.23,6.86,7.88,15-Aug-94
4.62,3.42,465.01,6.83,8.12,16-Aug-94
4.56,3.48,465.17,6.74,8.15,17-Aug-94
4.58,3.46,463.17,6.64,7.85,18-Aug-94
4.55,3.42,463.68,6.74,7.92,19-Aug-94
4.54,3.4,462.32,6.72,7.85,22-Aug-94
4.57,3.46,464.51,6.86,7.88,23-Aug-94
4.53,3.47,469.03,6.94,8.15,24-Aug-94
4.55,3.5,468.08,6.99,7.95,25-Aug-94
4.54,3.54,473.8,7.15,8.12,26-Aug-94
4.56,3.55,474.59,7.08,8.12,29-Aug-94
4.59,3.64,476.07,7.04,8.15,30-Aug-94
4.56,3.62,475.49,7.01,7.79,31-Aug-94
4.54,3.5,473.17,7.08,7.99,1-Sep-94
4.56,3.49,470.99,7.04,7.88,2-Sep-94
4.55,3.49,471.86,6.95,7.99,6-Sep-94
4.54,3.54,470.99,6.9,7.88,7-Sep-94
4.54,3.61,473.14,6.92,7.85,8-Sep-94
4.57,3.54,468.18,6.92,7.79,9-Sep-94
4.58,3.5,466.21,6.92,7.72,12-Sep-94
4.6,3.59,467.51,6.97,7.65,13-Sep-94
4.58,3.59,468.8,7.08,7.75,14-Sep-94
4.58,3.63,474.81,7.23,7.69,15-Sep-94
4.62,3.54,471.19,7.18,7.62,16-Sep-94
4.58,3.54,470.85,7.11,7.45,19-Sep-94
4.61,3.49,463.36,6.97,7.39,20-Sep-94
4.81,3.57,461.46,6.97,7.32,21-Sep-94
4.78,3.55,461.27,6.92,7.19,22-Sep-94
4.78,3.49,459.67,6.86,7.09,23-Sep-94
4.77,3.46,460.82,6.99,7.09,26-Sep-94
4.73,3.52,462.05,6.92,7.42,27-Sep-94
4.52,3.55,464.84,6.92,7.45,28-Sep-94
4.56,3.52,462.24,6.92,7.32,29-Sep-94
4.67,3.5,462.71,6.83,7.39,30-Sep-94
4.72,3.48,461.74,6.76,7.32,3-Oct-94
4.94,3.43,454.59,6.67,7.22,4-Oct-94
4.96,3.46,453.52,6.72,7.35,5-Oct-94
4.95,3.4,452.36,6.67,7.25,6-Oct-94
4.87,3.39,455.1,6.63,7.25,7-Oct-94
4.86,3.48,465.79,6.86,7.82,11-Oct-94
4.98,3.5,465.47,7.11,7.72,12-Oct-94
4.9,3.57,467.79,7.09,7.69,13-Oct-94
4.85,3.49,469.1,7.15,7.82,14-Oct-94
4.85,3.43,468.96,7.15,7.75,17-Oct-94
4.89,3.53,467.66,7.08,7.72,18-Oct-94
4.91,3.59,470.28,7.13,7.82,19-Oct-94
5,3.71,466.85,6.95,7.65,20-Oct-94
5,3.7,464.89,6.72,7.69,21-Oct-94
5.02,3.67,460.83,6.79,7.62,24-Oct-94
5.05,3.72,461.53,6.77,7.79,25-Oct-94
5,3.8,462.62,6.79,7.86,26-Oct-94
4.97,3.84,465.85,6.83,7.79,27-Oct-94
5.01,3.87,473.77,7.01,7.96,28-Oct-94
5.02,3.92,472.35,6.93,7.92,31-Oct-94
5.08,3.91,468.42,6.88,7.79,1-Nov-94
5.08,3.92,466.51,6.84,7.82,2-Nov-94
5.09,3.9,467.91,6.88,7.96,3-Nov-94
5.17,3.83,462.28,6.81,7.75,4-Nov-94
5.22,3.86,463.07,6.84,7.82,7-Nov-94
5.23,3.96,465.65,6.97,7.72,8-Nov-94
5.18,3.97,465.4,6.92,7.62,9-Nov-94
5.22,3.97,464.37,6.92,7.69,10-Nov-94
5.23,3.88,462.35,6.92,7.65,11-Nov-94
5.29,4.02,466.04,6.92,7.79,14-Nov-94
5.36,4.02,465.03,6.92,7.72,15-Nov-94
5.37,4.03,465.62,6.99,7.72,16-Nov-94
5.35,4,463.57,6.92,7.62,17-Nov-94
5.34,3.99,461.47,6.92,7.49,18-Nov-94
5.34,3.96,458.3,6.72,7.49,21-Nov-94
5.34,3.86,450.09,6.6,7.22,22-Nov-94
5.29,3.83,449.93,6.56,7.32,23-Nov-94
5.28,3.88,452.29,6.56,7.39,25-Nov-94
5.37,3.95,454.16,6.7,7.22,28-Nov-94
5.52,3.99,455.17,6.61,7.25,29-Nov-94
5.55,3.92,453.69,6.53,7.28,30-Nov-94
5.55,3.9,448.92,6.47,7.25,1-Dec-94
5.62,3.94,453.3,6.69,7.32,2-Dec-94
5.79,3.94,453.32,6.65,7.42,5-Dec-94
5.78,3.95,453.11,6.6,7.35,6-Dec-94
5.7,3.92,451.23,6.72,7.22,7-Dec-94
5.67,3.89,445.45,6.54,7.08,8-Dec-94
5.65,3.93,446.96,6.65,6.98,9-Dec-94
5.72,3.93,449.47,6.72,6.92,12-Dec-94
5.78,3.91,450.15,6.79,7.02,13-Dec-94
5.66,3.94,454.97,6.92,7.05,14-Dec-94
5.53,3.96,455.34,6.95,7.02,15-Dec-94
5.54,3.95,458.8,7.13,7.08,16-Dec-94
5.55,3.9,457.91,7.09,7.05,19-Dec-94
5.47,3.73,457.1,7.06,7.05,20-Dec-94
5.41,3.83,459.61,7.08,7.15,21-Dec-94
5.45,3.78,459.68,7.16,7.18,22-Dec-94
5.52,3.79,459.83,7.12,7.25,23-Dec-94
5.52,3.78,462.47,7.33,7.45,27-Dec-94
5.51,3.8,460.86,7.31,7.32,28-Dec-94
5.5,3.85,461.17,7.38,7.49,29-Dec-94
5.53,3.81,459.27,7.29,7.49,30-Dec-94
5.52,3.75,459.11,7.29,7.49,3-Jan-95
5.69,3.78,460.71,7.29,7.69,4-Jan-95
5.71,3.71,460.34,7.31,7.62,5-Jan-95
5.74,3.78,460.68,7.28,7.62,6-Jan-95
5.75,3.75,460.83,7.21,7.75,9-Jan-95
5.74,3.8,461.68,7.26,7.62,10-Jan-95
5.65,3.82,461.66,7.37,7.62,11-Jan-95
5.61,3.82,461.64,7.35,7.55,12-Jan-95
5.56,3.91,465.97,7.44,7.69,13-Jan-95
5.56,3.99,469.38,7.53,7.79,16-Jan-95
5.61,4.03,470.05,7.44,7.72,17-Jan-95
5.72,4.05,469.71,7.47,7.59,18-Jan-95
5.71,3.96,466.95,7.29,7.39,19-Jan-95
5.74,3.84,464.78,7.29,7.08,20-Jan-95
5.75,3.91,465.82,7.19,7.05,23-Jan-95
5.8,3.86,465.86,7.21,6.99,24-Jan-95
5.77,3.85,467.44,7.26,7.09,25-Jan-95
5.76,3.73,468.32,7.29,6.88,26-Jan-95
5.75,3.73,470.39,7.22,6.88,27-Jan-95
5.72,3.68,468.51,7.31,6.71,30-Jan-95
5.84,3.7,470.42,7.37,6.85,31-Jan-95
5.88,3.68,470.4,7.31,6.81,1-Feb-95
5.84,3.68,472.79,7.33,6.95,2-Feb-95
5.79,3.75,478.65,7.46,6.99,3-Feb-95
5.79,3.79,481.14,7.44,6.95,6-Feb-95
5.8,3.8,480.81,7.44,6.88,7-Feb-95
5.76,3.86,481.19,7.44,6.92,8-Feb-95
5.77,3.86,480.19,7.47,6.85,9-Feb-95
5.8,3.86,481.46,7.46,7.02,10-Feb-95
5.78,3.86,481.65,7.53,6.99,13-Feb-95
5.79,3.86,482.55,7.53,7.09,14-Feb-95
5.76,3.78,484.54,7.67,7.09,15-Feb-95
5.68,3.79,485.22,7.74,7.11,16-Feb-95
5.69,3.76,481.97,7.67,7.12,17-Feb-95
5.73,3.72,482.72,7.71,7.12,21-Feb-95
5.68,3.83,485.07,7.88,7.22,22-Feb-95
5.7,3.84,486.91,7.92,7.22,23-Feb-95
5.72,3.82,488.11,7.83,7.26,24-Feb-95
5.72,3.85,483.81,7.67,7.05,27-Feb-95
5.75,3.92,487.39,7.83,7.09,28-Feb-95
5.75,3.94,485.65,7.8,6.95,1-Mar-95
5.74,3.97,485.13,7.66,6.88,2-Mar-95
5.71,3.96,485.42,7.64,6.95,3-Mar-95
5.74,4.01,485.63,7.6,6.92,6-Mar-95
5.78,4.07,482.12,7.58,6.92,7-Mar-95
5.77,4.27,483.14,7.67,6.88,8-Mar-95
5.73,4.23,483.16,7.67,6.99,9-Mar-95
5.76,4.27,489.57,7.89,7.22,10-Mar-95
5.74,4.3,490.05,7.87,7.29,13-Mar-95
5.74,4.47,492.89,7.93,7.12,14-Mar-95
5.74,4.39,491.88,7.75,7.09,15-Mar-95
5.73,4.37,495.41,7.91,7.05,16-Mar-95
5.73,4.36,495.52,7.82,6.99,17-Mar-95
5.72,4.43,496.14,7.8,6.88,20-Mar-95
5.73,4.39,495.07,7.84,6.88,21-Mar-95
5.72,4.42,495.67,7.87,6.81,22-Mar-95
5.69,4.53,495.95,7.85,6.81,23-Mar-95
5.66,4.6,500.97,7.93,6.92,24-Mar-95
5.66,4.55,503.2,7.87,7.05,27-Mar-95
5.69,4.59,503.9,7.91,7.05,28-Mar-95
5.66,4.5,503.12,7.93,7.22,29-Mar-95
5.68,4.49,502.22,7.89,7.53,30-Mar-95
5.7,4.43,500.71,7.78,7.29,31-Mar-95
5.69,4.36,501.85,7.87,7.36,3-Apr-95
5.72,4.35,505.24,7.91,7.22,4-Apr-95
5.69,4.4,505.57,7.91,7.19,5-Apr-95
5.65,4.36,506.08,7.96,7.36,6-Apr-95
5.67,4.34,506.42,7.91,7.32,7-Apr-95
5.65,4.42,507.01,7.93,7.29,10-Apr-95
5.65,4.49,505.53,7.89,7.26,11-Apr-95
5.64,4.46,507.17,7.89,7.49,12-Apr-95
5.59,4.52,509.23,7.93,7.39,13-Apr-95
5.6,4.82,506.13,7.76,7.32,17-Apr-95
5.6,4.78,505.37,7.78,7.36,18-Apr-95
5.6,4.74,504.92,7.89,7.53,19-Apr-95
5.59,4.69,505.29,7.78,7.42,20-Apr-95
5.61,4.67,508.49,7.93,7.32,21-Apr-95
5.62,4.84,512.89,8,7.39,24-Apr-95
5.66,4.98,512.1,8.03,7.46,25-Apr-95
5.67,4.96,512.66,8.05,7.41,26-Apr-95
5.68,4.9,513.55,8.12,7.37,27-Apr-95
5.69,5.09,514.71,8.07,7.44,28-Apr-95
5.7,5.12,514.26,8.12,7.41,1-May-95
5.69,4.96,514.86,8.11,7.3,2-May-95
5.65,5.04,520.48,8.16,7.27,3-May-95
5.58,5.08,520.54,8.23,7.13,4-May-95
5.56,4.98,520.12,8.27,7.27,5-May-95
5.57,4.98,523.96,8.43,7.34,8-May-95
5.62,4.97,523.56,8.45,7.44,9-May-95
5.63,4.94,524.36,8.52,7.78,10-May-95
5.66,5.07,524.37,8.41,7.54,11-May-95
5.69,5.03,525.55,8.5,7.82,12-May-95
5.69,5.07,527.74,8.3,8.06,15-May-95
5.69,5.29,528.19,8.2,8.06,16-May-95
5.67,5.36,527.07,8.29,7.96,17-May-95
5.69,5.27,519.58,8.14,7.75,18-May-95
5.68,5.32,519.19,8.14,7.85,19-May-95
5.72,5.44,523.65,8.23,7.92,22-May-95
5.72,5.51,528.59,8.3,8.09,23-May-95
5.69,5.45,528.61,8.23,7.92,24-May-95
5.66,5.56,528.59,8.14,7.89,25-May-95
5.66,5.45,523.65,8.12,7.78,26-May-95
5.64,5.17,523.58,8.16,7.78,30-May-95
5.63,5.28,533.4,8.36,8.03,31-May-95
5.51,5.24,533.49,8.36,8.23,1-Jun-95
5.42,5.18,532.51,8.18,8.23,2-Jun-95
5.51,5.28,535.6,8.34,8.37,5-Jun-95
5.53,5.18,535.55,8.3,8.23,6-Jun-95
5.56,5.23,533.13,8.27,8.23,7-Jun-95
5.59,5.24,532.35,8.2,8.23,8-Jun-95
5.59,5.29,527.94,8.02,8.13,9-Jun-95
5.56,5.22,530.88,8.18,8.2,12-Jun-95
5.44,5.23,536.05,8.29,8.16,13-Jun-95
5.44,5.22,536.47,8.32,8.16,14-Jun-95
5.47,5.29,537.12,8.32,8.13,15-Jun-95
5.49,5.42,539.83,8.27,8.09,16-Jun-95
5.46,5.6,545.22,8.34,8.2,19-Jun-95
5.48,5.69,544.98,8.25,8.37,20-Jun-95
5.43,5.64,543.98,8.23,8.47,21-Jun-95
5.36,5.72,551.07,8.25,8.4,22-Jun-95
5.37,5.68,549.71,8.23,8.37,23-Jun-95
5.37,5.59,544.13,8.2,8.33,26-Jun-95
5.37,5.41,542.43,8.18,8.3,27-Jun-95
5.4,5.47,544.73,8.18,8.3,28-Jun-95
5.5,5.57,543.87,8.07,8.2,29-Jun-95
